"tailnum","year","type","manufacturer","model","engines","seats","speed","engine"
"N102AA",2007,"Fixed wing single engine","AVIAT AIRCRAFT INC","A-1B",1,2,NA,"Reciprocating"
"N102UW",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,NA,"Turbo-fan"
"N103SY",2014,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N103US",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,NA,"Turbo-fan"
"N104UW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,NA,"Turbo-fan"
"N105SY",2014,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N105UW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,NA,"Turbo-fan"
"N106SY",2014,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N107SY",2014,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N107US",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,NA,"Turbo-fan"
"N108AA",1977,"Weight-shift-control","COURTNEY GERALD L","ANTARES MA 32",1,2,NA,"2 Cycle"
"N108SY",2014,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N108UW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,NA,"Turbo-fan"
"N109AA",2007,"Fixed wing single engine","AVIAT AIRCRAFT INC","A-1B",1,2,NA,"Reciprocating"
"N109SY",2014,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N109UW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,NA,"Turbo-fan"
"N110SY",2014,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N110UW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,NA,"Turbo-fan"
"N111US",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,NA,"Turbo-fan"
"N11206",2000,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
