"origin","year","month","day","hour","temp","dewp","humid","wind_dir","wind_speed","wind_gust","precip","pressure","visib","date"
"PDX",2016,8,1,0,NA,NA,NA,350,5.7539,6.621473042,NA,NA,10,2016-08-01 00:00:00
"PDX",2016,8,1,1,NA,NA,NA,320,8.05546,9.2700622588,NA,NA,10,2016-08-01 01:00:00
"PDX",2016,8,1,2,NA,NA,NA,330,11.5078,13.242946084,NA,NA,10,2016-08-01 02:00:00
"PDX",2016,8,1,3,NA,NA,NA,350,8.05546,9.2700622588,NA,NA,10,2016-08-01 03:00:00
"PDX",2016,8,1,4,NA,NA,NA,350,9.20624,10.5943568672,NA,NA,10,2016-08-01 04:00:00
"PDX",2016,8,1,5,NA,NA,NA,320,11.5078,13.242946084,NA,NA,10,2016-08-01 05:00:00
"PDX",2016,8,1,6,NA,NA,NA,320,9.20624,10.5943568672,NA,NA,10,2016-08-01 06:00:00
"PDX",2016,8,1,7,NA,NA,NA,330,9.20624,10.5943568672,NA,NA,10,2016-08-01 07:00:00
"PDX",2016,8,1,8,NA,NA,NA,320,8.05546,9.2700622588,NA,NA,10,2016-08-01 08:00:00
"PDX",2016,8,1,9,NA,NA,NA,330,6.90468,7.9457676504,NA,NA,10,2016-08-01 09:00:00
"PDX",2016,8,1,10,NA,NA,NA,330,6.90468,7.9457676504,NA,NA,10,2016-08-01 10:00:00
"PDX",2016,8,1,11,NA,NA,NA,340,5.7539,6.621473042,NA,NA,10,2016-08-01 11:00:00
"PDX",2016,8,1,12,NA,NA,NA,330,6.90468,7.9457676504,NA,NA,10,2016-08-01 12:00:00
"PDX",2016,8,1,13,NA,NA,NA,340,6.90468,7.9457676504,NA,NA,10,2016-08-01 13:00:00
"PDX",2016,8,1,14,NA,NA,NA,350,6.90468,7.9457676504,NA,NA,10,2016-08-01 14:00:00
"PDX",2016,8,1,15,NA,NA,NA,340,6.90468,7.9457676504,NA,NA,10,2016-08-01 15:00:00
"PDX",2016,8,1,16,NA,NA,NA,320,8.05546,9.2700622588,NA,NA,10,2016-08-01 16:00:00
"PDX",2016,8,1,17,NA,NA,NA,30,4.60312,5.2971784336,NA,NA,10,2016-08-01 17:00:00
"PDX",2016,8,1,18,NA,NA,NA,340,5.7539,6.621473042,NA,NA,10,2016-08-01 18:00:00
"PDX",2016,8,1,19,66.02,51.98,60.51,330,5.7539,6.621473042,0,NA,10,2016-08-01 19:00:00
"PDX",2016,8,1,20,NA,NA,NA,270,9.20624,10.5943568672,NA,NA,10,2016-08-01 20:00:00
"PDX",2016,8,1,21,NA,NA,NA,290,8.05546,9.2700622588,NA,NA,10,2016-08-01 21:00:00
"PDX",2016,8,1,22,NA,NA,NA,290,3.45234,3.9728838252,NA,NA,10,2016-08-01 22:00:00
"PDX",2016,8,1,23,NA,NA,NA,290,8.05546,9.2700622588,NA,NA,10,2016-08-01 23:00:00
"PDX",2016,8,2,0,NA,NA,NA,330,8.05546,9.2700622588,NA,NA,10,2016-08-02 00:00:00
"PDX",2016,8,2,1,NA,NA,NA,330,6.90468,7.9457676504,NA,NA,10,2016-08-02 01:00:00
"PDX",2016,8,2,2,NA,NA,NA,340,6.90468,7.9457676504,NA,NA,10,2016-08-02 02:00:00
"PDX",2016,8,2,3,NA,NA,NA,330,8.05546,9.2700622588,NA,NA,10,2016-08-02 03:00:00
"PDX",2016,8,2,4,NA,NA,NA,340,6.90468,7.9457676504,NA,NA,10,2016-08-02 04:00:00
"PDX",2016,8,2,5,NA,NA,NA,340,9.20624,10.5943568672,NA,NA,10,2016-08-02 05:00:00
"PDX",2016,8,2,6,NA,NA,NA,340,8.05546,9.2700622588,NA,NA,10,2016-08-02 06:00:00
"PDX",2016,8,2,7,NA,NA,NA,340,6.90468,7.9457676504,NA,NA,10,2016-08-02 07:00:00
"PDX",2016,8,2,8,NA,NA,NA,320,10.35702,11.9186514756,NA,NA,10,2016-08-02 08:00:00
"PDX",2016,8,2,9,NA,NA,NA,310,13.80936,15.8915353008,NA,NA,10,2016-08-02 09:00:00
"PDX",2016,8,2,10,NA,NA,NA,310,12.65858,14.5672406924,NA,NA,10,2016-08-02 10:00:00
"PDX",2016,8,2,11,NA,NA,NA,230,4.60312,5.2971784336,NA,NA,10,2016-08-02 11:00:00
"PDX",2016,8,2,12,NA,NA,NA,0,0,0,NA,NA,10,2016-08-02 12:00:00
"PDX",2016,8,2,13,NA,NA,NA,220,3.45234,3.9728838252,NA,NA,10,2016-08-02 13:00:00
"PDX",2016,8,2,14,NA,NA,NA,210,4.60312,5.2971784336,NA,NA,10,2016-08-02 14:00:00
"PDX",2016,8,2,15,NA,NA,NA,200,5.7539,6.621473042,NA,NA,10,2016-08-02 15:00:00
"PDX",2016,8,2,16,NA,NA,NA,230,6.90468,7.9457676504,NA,NA,10,2016-08-02 16:00:00
"PDX",2016,8,2,17,NA,NA,NA,250,10.35702,11.9186514756,NA,NA,10,2016-08-02 17:00:00
"PDX",2016,8,2,18,NA,NA,NA,240,5.7539,6.621473042,NA,NA,10,2016-08-02 18:00:00
"PDX",2016,8,2,19,NA,NA,NA,290,8.05546,9.2700622588,NA,NA,10,2016-08-02 19:00:00
"PDX",2016,8,2,20,NA,NA,NA,320,8.05546,9.2700622588,NA,NA,10,2016-08-02 20:00:00
"PDX",2016,8,2,21,NA,NA,NA,310,8.05546,9.2700622588,NA,NA,10,2016-08-02 21:00:00
"PDX",2016,8,2,22,NA,NA,NA,300,9.20624,10.5943568672,NA,NA,10,2016-08-02 22:00:00
"PDX",2016,8,2,23,NA,NA,NA,300,8.05546,9.2700622588,NA,NA,10,2016-08-02 23:00:00
"PDX",2016,8,3,0,NA,NA,NA,320,9.20624,10.5943568672,NA,NA,10,2016-08-03 00:00:00
